Histograma global:
Valor 0: 0
Valor 1: 0
Valor 2: 0
Valor 3: 0
Valor 4: 0
Valor 5: 0
Valor 6: 0
Valor 7: 0
Valor 8: 0
Valor 9: 0
Valor 10: 0
Valor 11: 0
Valor 12: 1
Valor 13: 3
Valor 14: 0
Valor 15: 0
Valor 16: 0
Valor 17: 0
Valor 18: 0
Valor 19: 0
Valor 20: 0
Valor 21: 0
Valor 22: 1
Valor 23: 0
Valor 24: 2
Valor 25: 2
Valor 26: 0
Valor 27: 0
Valor 28: 0
Valor 29: 2
Valor 30: 3
Valor 31: 3
Valor 32: 2
Valor 33: 0
Valor 34: 1
Valor 35: 1
Valor 36: 2
Valor 37: 4
Valor 38: 0
Valor 39: 3
Valor 40: 3
Valor 41: 1
Valor 42: 3
Valor 43: 1
Valor 44: 4
Valor 45: 6
Valor 46: 6
Valor 47: 4
Valor 48: 6
Valor 49: 6
Valor 50: 5
Valor 51: 9
Valor 52: 13
Valor 53: 10
Valor 54: 17
Valor 55: 42
Valor 56: 83
Valor 57: 115
Valor 58: 207
Valor 59: 278
Valor 60: 449
Valor 61: 697
Valor 62: 968
Valor 63: 1237
Valor 64: 1772
Valor 65: 2607
Valor 66: 3694
Valor 67: 5254
Valor 68: 6973
Valor 69: 8080
Valor 70: 8865
Valor 71: 9845
Valor 72: 11055
Valor 73: 12302
Valor 74: 13474
Valor 75: 12805
Valor 76: 11954
Valor 77: 10896
Valor 78: 9795
Valor 79: 9325
Valor 80: 9226
Valor 81: 9236
Valor 82: 8836
Valor 83: 7847
Valor 84: 6642
Valor 85: 6047
Valor 86: 5527
Valor 87: 5011
Valor 88: 4536
Valor 89: 4542
Valor 90: 4957
Valor 91: 5088
Valor 92: 5271
Valor 93: 4870
Valor 94: 4823
Valor 95: 4850
Valor 96: 5108
Valor 97: 5231
Valor 98: 5549
Valor 99: 5842
Valor 100: 6114
Valor 101: 6127
Valor 102: 6384
Valor 103: 6346
Valor 104: 5968
Valor 105: 5873
Valor 106: 5258
Valor 107: 5092
Valor 108: 4708
Valor 109: 4426
Valor 110: 4275
Valor 111: 4284
Valor 112: 4022
Valor 113: 3819
Valor 114: 3840
Valor 115: 3756
Valor 116: 3654
Valor 117: 3583
Valor 118: 3667
Valor 119: 3429
Valor 120: 3665
Valor 121: 3709
Valor 122: 3575
Valor 123: 3329
Valor 124: 3123
Valor 125: 3128
Valor 126: 2962
Valor 127: 2885
Valor 128: 2862
Valor 129: 2894
Valor 130: 2717
Valor 131: 2647
Valor 132: 2652
Valor 133: 2511
Valor 134: 2589
Valor 135: 2533
Valor 136: 2591
Valor 137: 2446
Valor 138: 2427
Valor 139: 2361
Valor 140: 2107
Valor 141: 2058
Valor 142: 2069
Valor 143: 2174
Valor 144: 2187
Valor 145: 2205
Valor 146: 2263
Valor 147: 2534
Valor 148: 2775
Valor 149: 2907
Valor 150: 2897
Valor 151: 2953
Valor 152: 2886
Valor 153: 3091
Valor 154: 2946
Valor 155: 3019
Valor 156: 3327
Valor 157: 3493
Valor 158: 3622
Valor 159: 3670
Valor 160: 3504
Valor 161: 3518
Valor 162: 3621
Valor 163: 3641
Valor 164: 3412
Valor 165: 3474
Valor 166: 3675
Valor 167: 3834
Valor 168: 4456
Valor 169: 4648
Valor 170: 5273
Valor 171: 5441
Valor 172: 5797
Valor 173: 5511
Valor 174: 5179
Valor 175: 5624
Valor 176: 5824
Valor 177: 6260
Valor 178: 6254
Valor 179: 6447
Valor 180: 5975
Valor 181: 5688
Valor 182: 5398
Valor 183: 5190
Valor 184: 5494
Valor 185: 5675
Valor 186: 5735
Valor 187: 5849
Valor 188: 5838
Valor 189: 5735
Valor 190: 5677
Valor 191: 5964
Valor 192: 6099
Valor 193: 6549
Valor 194: 6865
Valor 195: 6799
Valor 196: 5980
Valor 197: 5290
Valor 198: 4938
Valor 199: 4931
Valor 200: 4901
Valor 201: 4399
Valor 202: 4112
Valor 203: 4120
Valor 204: 4132
Valor 205: 3807
Valor 206: 3377
Valor 207: 3497
Valor 208: 3092
Valor 209: 3263
Valor 210: 3310
Valor 211: 3497
Valor 212: 2802
Valor 213: 2212
Valor 214: 2011
Valor 215: 1899
Valor 216: 2031
Valor 217: 1990
Valor 218: 1849
Valor 219: 1821
Valor 220: 1873
Valor 221: 1809
Valor 222: 1810
Valor 223: 1855
Valor 224: 1772
Valor 225: 1775
Valor 226: 1712
Valor 227: 1616
Valor 228: 1548
Valor 229: 1486
Valor 230: 1512
Valor 231: 1458
Valor 232: 1358
Valor 233: 1311
Valor 234: 1267
Valor 235: 1192
Valor 236: 1181
Valor 237: 1157
Valor 238: 1125
Valor 239: 1026
Valor 240: 1007
Valor 241: 956
Valor 242: 954
Valor 243: 889
Valor 244: 905
Valor 245: 862
Valor 246: 894
Valor 247: 835
Valor 248: 826
Valor 249: 827
Valor 250: 863
Valor 251: 843
Valor 252: 957
Valor 253: 1121
Valor 254: 865
Valor 255: 452
